m2,price,location
104.28,1065,Shangdi
56.35,780,Shangdi
95.04,685,Shangdi
118.79,848,Shangdi
108.08,750,Shangdi
108.08,750,Shangdi
46.03,330,Shangdi
103.6,850,Shangdi
180.13,1080,Shangdi
128.23,1170,Shangdi
146.1,1445,Shangdi
97.64,1250,Shangdi
149.67,1720,Shangdi
136.35,1280,Shangdi
86.75,568,Shangdi
97.37,1258,Shangdi
107.99,730,Shangdi
84.33,710,Shangdi
44.9,725,Shangdi
120.41,870,Shangdi
149.67,1720,Shangdi
62.85,798,Shangdi
84.33,710,Shangdi
131.1,999,Shangdi
141.22,1130,Shangdi
145.23,1680,Shangdi
141.22,1130,Shangdi
59.4,930,Shangdi
128.07,1399,Shangdi
88.88,580,Shangdi
118.22,900,Shangdi
112.57,899,Shangdi
137.26,1560,Shangdi
157.74,1459,Shangdi
59.5,868,Shangdi
62.6,375,Shangdi
163.92,1720,Shangdi
131.63,1278,Shangdi
108.08,798,Shangdi
115.91,898,Shangdi
70.44,868,Shangdi
57.57,408,Shangdi
51.1,390,Shangdi
156.15,1520,Shangdi
66.06,625,Shangdi
120.41,870,Shangdi
122.34,920,Shangdi
103.7,1135,Shangdi
131.63,1278,Shangdi
57.57,408,Shangdi
85.5,799,Shangdi
112.28,850,Shangdi
47,300,Shangdi
111.57,738,Shangdi
122.39,880,Shangdi
147.91,1420,Shangdi
111.3,1135,Shangdi
36.69,345,Shangdi
144.31,700,Shangdi
69.91,620,Shangdi
107.99,798,Shangdi
131.1,1370,Shangdi
112.4,835,Shangdi
137.87,2100,Shangdi
121.9,1298,Shangdi
137.1,1060,Shangdi
111.57,738,Shangdi
132,1268,Shangdi
62.6,410,Shangdi
136.35,1280,Shangdi
59.5,840,Shangdi
85.27,790,Shangdi
59.5,860,Shangdi
105.51,780,Shangdi
44.9,725,Shangdi
102.12,909,Shangdi
85.27,790,Shangdi
93.74,990,Shangdi
109.3,1150,Shangdi
86.59,599,Shangdi
149.67,1720,Shangdi
111.57,760,Shangdi
36.69,345,Shangdi
193.59,1460,Shangdi
47,300,Shangdi
149.84,1680,Shangdi
74,900,Shangdi
114.2,1028,Shangdi
66.06,625,Shangdi
43.3,760,Shangdi
73.7,920,Shangdi
141.22,1060,Shangdi
51.1,390,Shangdi
140.87,1098,Shangdi
62.85,798,Shangdi
161.79,1690,Shangdi
101.52,820,Shangdi
112.28,850,Shangdi
139.46,1180,Shangdi
121.9,1298,Shangdi
146.25,1068,Shangdi
170.84,1490,Shangdi
57.57,408,Shangdi
175.1,1185,Shangdi
79.8,938,Shangdi
156.72,1680,Shangdi
111.57,760,Shangdi
149.67,1720,Shangdi
44.9,725,Shangdi
88.88,580,Shangdi
156.15,1520,Shangdi
71.61,450,Shangdi
62.43,890,Shangdi
62.6,375,Shangdi
54.58,435,Shangdi
198.31,2420,Shangdi
44.8,720,Shangdi
59.2,720,Shangdi
111.57,750,Shangdi
172.33,1298,Shangdi
163.99,1880,Shangdi
187.49,898,Shangdi
122.39,880,Shangdi
87.14,628,Shangdi
69.91,620,Shangdi
47.7,670,Shangdi
149.4,1680,Shangdi
112.4,835,Shangdi
148.39,1030,Shangdi
110.34,798,Shangdi
175.1,1188,Shangdi
57.57,515,Shangdi
161.79,1690,Shangdi
93.95,750,Shangdi
99.48,760,Shangdi
99.41,736,Shangdi
94.61,1000,Shangdi
135.41,910,Shangdi
93.95,750,Shangdi
112.28,850,Shangdi
59.4,930,Shangdi
131.63,1278,Shangdi
86.59,599,Shangdi
146.41,830,Shangdi
198.31,2420,Shangdi
108.08,730,Shangdi
58.8,860,Shangdi
62.6,410,Shangdi
70.2,900,Shangdi
121.9,1298,Shangdi
112.4,835,Shangdi
175.1,1185,Shangdi
125.3,1099,Shangdi
137.1,1060,Shangdi
88.88,580,Shangdi
156.15,1499,Shangdi
175.1,1188,Shangdi
111.3,1135,Shangdi
95.67,1198,Shangdi
141.22,1060,Shangdi
187.49,898,Shangdi
74,850,Shangdi
122.11,999,Shangdi
79.8,938,Shangdi
79.8,938,Shangdi
98,727,Shangdi
140.87,1098,Shangdi
156.15,1499,Shangdi
114.4,899,Shangdi
163.99,1880,Shangdi
111.89,835,Shangdi
93.95,750,Shangdi
107.99,730,Shangdi
108.08,730,Shangdi
131.63,1278,Shangdi
105.51,780,Shangdi
126.11,1450,Shangdi
127.28,1260,Shangdi
98.37,820,Shangdi
36.69,345,Shangdi
112.28,850,Shangdi
139.31,1300,Shangdi
98,680,Shangdi
114.4,899,Shangdi
95.04,780,Shangdi
149.67,1720,Shangdi
88.88,580,Shangdi
156.15,1499,Shangdi
70.44,868,Shangdi
104,996,Shangdi
86.59,599,Shangdi
135.41,910,Shangdi
81.7,990,Shangdi
86.59,599,Shangdi
70.26,790,Shangdi
130.9,1000,Shangdi
131.1,1370,Shangdi
114.4,899,Shangdi
132,1268,Shangdi
103.7,1135,Shangdi
163.99,1880,Shangdi
36.69,345,Shangdi
158.62,800,Shangdi
137.04,966,Shangdi
114.2,1028,Shangdi
108.08,750,Shangdi
156.15,1458,Shangdi
111.57,760,Shangdi
102.12,909,Shangdi
141,1136,Shangdi
85.5,799,Shangdi
111.89,835,Shangdi
169.94,1400,Shangdi
59.5,860,Shangdi
59.5,800,Shangdi
96.24,1120,Shangdi
115.91,898,Shangdi
127.28,1260,Shangdi
44.8,720,Shangdi
111.89,779,Shangdi
116.48,986,Shangdi
58.1,868,Shangdi
158.25,1099,Shangdi
46.25,355,Shangdi
108.08,750,Shangdi
62.43,890,Shangdi
110.38,803,Shangdi
148.5,1230,Shangdi
112.8,905,Shangdi
114.2,1028,Shangdi
86.59,599,Shangdi
105.51,780,Shangdi
145.23,1680,Shangdi
57.57,408,Shangdi
98.37,820,Shangdi
99.41,736,Shangdi
149.4,1680,Shangdi
129,750,Shangdi
150.73,1320,Shangdi
114.4,899,Shangdi
95.04,685,Shangdi
137.1,1060,Shangdi
121.9,1298,Shangdi
62.65,580,Shangdi
106.84,1355,Shangdi
112.4,835,Shangdi
132,1268,Shangdi
78.61,880,Shangdi
146.41,830,Shangdi
150.92,1350,Shangdi
149.67,1720,Shangdi
211.86,2380,Shangdi
111.89,779,Shangdi
101.52,820,Shangdi
62.65,799,Shangdi
78.1,898,Shangdi
103.6,850,Shangdi
137.87,2100,Shangdi
137.87,2100,Shangdi
88.17,593,Shangdi
70.26,790,Shangdi
118.22,900,Shangdi
86,730,Shangdi
169.94,1400,Shangdi
44.8,720,Shangdi
112.57,899,Shangdi
59.5,860,Shangdi
140.87,1098,Shangdi
156.15,1458,Shangdi
139.31,1300,Shangdi
159,1090,Shangdi
161.79,1690,Shangdi
107.99,730,Shangdi
51.1,390,Shangdi
100.58,1100,Shangdi
69.91,620,Shangdi
108.08,730,Shangdi
95.67,1198,Shangdi
70.2,900,Shangdi
148.07,1399,Shangdi
163.99,1880,Shangdi
88.17,593,Shangdi
109.3,1150,Shangdi
88.17,599,Shangdi
107.99,750,Shangdi
86.59,599,Shangdi
72.3,896,Shangdi
141.22,1130,Shangdi
107.99,750,Shangdi
111.57,738,Shangdi
85.7,1090,Shangdi
111.57,815,Shangdi
111.57,810,Shangdi
158.25,1099,Shangdi
73.7,920,Shangdi
84.33,710,Shangdi
149.67,1720,Shangdi
62.63,798,Shangdi
150,1420,Shangdi
110.2,868,Shangdi
132,1268,Shangdi
84.33,710,Shangdi
46.03,300,Shangdi
156.72,1888,Shangdi
60.8,755,Shangdi
137.87,2100,Shangdi
103.6,850,Shangdi
57.57,408,Shangdi
87.14,675,Shangdi
48.9,660,Shangdi
84.33,710,Shangdi
87.14,628,Shangdi
57.57,408,Shangdi
103.7,1135,Shangdi
97,1100,Shangdi
115.91,898,Shangdi
149.84,1680,Shangdi
86.59,599,Shangdi
66.06,625,Shangdi
57.57,515,Shangdi
87.14,628,Shangdi
100.58,1100,Shangdi
129,750,Shangdi
138.55,1230,Shangdi
163.99,1880,Shangdi
128.07,1399,Shangdi
156,1120,Shangdi
46.25,355,Shangdi
93.74,990,Shangdi
169.94,1400,Shangdi
121.9,1298,Shangdi
70.67,949,Shangdi
86.75,568,Shangdi
59.2,720,Shangdi
73.7,920,Shangdi
156.15,1520,Shangdi
135.41,910,Shangdi
118.79,848,Shangdi
114.4,899,Shangdi
56.35,780,Shangdi
46.24,368,Shangdi
137.87,2100,Shangdi
141.22,1060,Shangdi
60.8,755,Shangdi
65.19,630,Shangdi
93.95,750,Shangdi
170.84,1490,Shangdi
111.57,738,Shangdi
82.3,970,Shangdi
73.7,920,Shangdi
156.15,1499,Shangdi
95.04,780,Shangdi
104.28,1029,Shangdi
137.87,2100,Shangdi
103.7,950,Shangdi
111.89,835,Shangdi
175.1,1188,Shangdi
139,950,Shangdi
127.28,1260,Shangdi
74,940,Shangdi
97.37,1258,Shangdi
56.35,780,Shangdi
198.31,2420,Shangdi
84.33,710,Shangdi
85.27,790,Shangdi
146.41,830,Shangdi
36.69,299,Shangdi
111.57,838,Shangdi
81.7,990,Shangdi
114.4,899,Shangdi
112.4,835,Shangdi
47.3,738,Shangdi
147.91,1420,Shangdi
58.1,868,Shangdi
