m2,price,location
60.3,269,Xisanqi
87.23,899,Xisanqi
79.04,339,Xisanqi
42.58,225,Xisanqi
99.93,575,Xisanqi
60.8,315,Xisanqi
40.94,236,Xisanqi
185.04,1620,Xisanqi
238.74,2300,Xisanqi
89.43,328,Xisanqi
79.11,380,Xisanqi
126.38,498,Xisanqi
126.29,885,Xisanqi
147.6,1080,Xisanqi
50,255,Xisanqi
102.6,619,Xisanqi
61.66,249,Xisanqi
86.46,423,Xisanqi
100,620,Xisanqi
110.89,710,Xisanqi
111.26,620,Xisanqi
89,330,Xisanqi
181.23,705,Xisanqi
138.36,718,Xisanqi
66.66,271,Xisanqi
69.7,518,Xisanqi
88.72,299,Xisanqi
96.42,445,Xisanqi
90.36,515,Xisanqi
66.46,326,Xisanqi
89.07,360,Xisanqi
86.31,440,Xisanqi
102.6,650,Xisanqi
54.82,280,Xisanqi
59.69,246,Xisanqi
102.6,649,Xisanqi
161.47,980,Xisanqi
51.6,340,Xisanqi
68.79,380,Xisanqi
155.94,560,Xisanqi
97.73,529,Xisanqi
117.79,588,Xisanqi
86.54,690,Xisanqi
58.5,218,Xisanqi
319.14,2280,Xisanqi
88.4,566,Xisanqi
53.91,300,Xisanqi
63.1,263,Xisanqi
82.37,409,Xisanqi
88.4,575,Xisanqi
145.23,1113,Xisanqi
71.35,326,Xisanqi
76.59,488,Xisanqi
90.41,520,Xisanqi
84.56,630,Xisanqi
69.68,398,Xisanqi
69.08,465,Xisanqi
56.7,316,Xisanqi
91.47,420,Xisanqi
59.8,260,Xisanqi
74.8,560,Xisanqi
60.8,315,Xisanqi
194.17,1188,Xisanqi
63.1,400,Xisanqi
83.73,585,Xisanqi
90.01,343,Xisanqi
91.14,538,Xisanqi
93.68,620,Xisanqi
86.48,310,Xisanqi
74.8,715,Xisanqi
56.1,269,Xisanqi
59.71,298,Xisanqi
126.87,980,Xisanqi
60.81,310,Xisanqi
62.6,445,Xisanqi
69.2,339,Xisanqi
66.46,318,Xisanqi
82.49,438,Xisanqi
81.78,404,Xisanqi
81.6,385,Xisanqi
275.97,1780,Xisanqi
130.47,596,Xisanqi
126.87,888,Xisanqi
63.19,245,Xisanqi
89.31,370,Xisanqi
79.11,308,Xisanqi
70.12,278,Xisanqi
68.79,380,Xisanqi
66.46,288,Xisanqi
54.17,285,Xisanqi
89.42,520,Xisanqi
217.05,2200,Xisanqi
178.34,980,Xisanqi
90.13,745,Xisanqi
127.08,515,Xisanqi
54.3,360,Xisanqi
73.5,295,Xisanqi
73.27,443,Xisanqi
79.34,430,Xisanqi
47.3,375,Xisanqi
167.23,1280,Xisanqi
96.4,499,Xisanqi
130.18,950,Xisanqi
53.84,280,Xisanqi
77.42,445,Xisanqi
89,345,Xisanqi
71.35,310,Xisanqi
105.26,523,Xisanqi
88.72,299,Xisanqi
88.72,285,Xisanqi
73.27,330,Xisanqi
84,415,Xisanqi
47.3,375,Xisanqi
85.72,170,Xisanqi
151.77,1050,Xisanqi
181.23,668,Xisanqi
46.9,260,Xisanqi
86.65,555,Xisanqi
130.52,850,Xisanqi
53.91,300,Xisanqi
110.16,550,Xisanqi
78.06,398,Xisanqi
61.34,305,Xisanqi
63.9,435,Xisanqi
72.19,408,Xisanqi
105.26,523,Xisanqi
110.16,520,Xisanqi
53.9,260,Xisanqi
74.8,560,Xisanqi
100.13,580,Xisanqi
52.1,311,Xisanqi
87.14,670,Xisanqi
76.7,415,Xisanqi
167.23,1280,Xisanqi
126.38,498,Xisanqi
79.11,380,Xisanqi
73.27,338,Xisanqi
86.65,526,Xisanqi
147.6,1080,Xisanqi
61.09,275,Xisanqi
71.35,326,Xisanqi
59.5,196,Xisanqi
59.69,246,Xisanqi
58.35,280,Xisanqi
90.41,520,Xisanqi
147.23,978,Xisanqi
132.93,645,Xisanqi
71.35,230,Xisanqi
161.47,978,Xisanqi
75.5,478,Xisanqi
93.56,645,Xisanqi
91,580,Xisanqi
82.2,318,Xisanqi
81.78,404,Xisanqi
95.31,450,Xisanqi
100,620,Xisanqi
82.87,380,Xisanqi
151.77,940,Xisanqi
65.31,268,Xisanqi
194.17,1188,Xisanqi
